"URI","Title","RecordId","ParentType URI","From Date","To Date","Deity","Denomination","Issuer","Manufacture","Material","Mint","Object Type","Portrait","Region","State","Symbol_obv","Symbol_rev","Obverse Legend","Obverse Type","Reverse Legend","Reverse Type","Obverse Above","Reverse Above","Obverse Below","Reverse Below","Obverse Before","Reverse Before","Obverse Behind","Reverse Behind","Obverse Above or Behind","Obverse Behind or Before","Obverse Below or Behind","Obverse In Field","Reverse In Field","Obverse Left Field","Reverse Left Field","Obverse Right Field","Reverse Right Field","Obverse Exergue","Reverse Exergue","Obverse After Legend","Reverse Above, or Above and Below","Reverse Above, Below, or Both","Reverse Center","Reverse At Base","Date Record Modified"
"http://numismatics.org/crro/id/rrc-285.6","RRC 285/6","rrc-285.6","","-116","-115","Mercury","Sextans","Cn. Domitius Ahenobarbus||Q. Curtius||M. Silanus","Struck","Bronze","Rome","Coin","","Latium","Roman Republic","Two pellets","","CN·DOMI","Head of Mercury, right.","Q·CVRTI M·SILA","Caduceus.","Two pellets","","","","","","","","","","","","","","","","","","","","","","","","2025-05-27T04:05:13Z"
"http://numismatics.org/crro/id/rrc-285.7","RRC 285/7","rrc-285.7","","-116","-115","Apollo","Uncia","Cn. Domitius Ahenobarbus||Q. Curtius||M. Silanus","Struck","Bronze","Rome","Coin","","Latium","Roman Republic","One pellet","","","Head of Apollo, right, with hair tied back with band.","","Lyre.","","","","","","","One pellet","","","","","","","","","","","","","","","","","","2025-05-27T04:05:13Z"
"http://numismatics.org/crro/id/rrc-286.1","RRC 286/1","rrc-286.1","","-116","-115","Roma","Denarius","M. Sergius Silus","Struck","Silver","Rome","Coin","","Latium","Roman Republic","X","","EX·S·C ROMA","Helmeted head of Roma, right. Border of dots.","Q M·SERGI SILVS","Horseman, left, holding sword and severed head in left hand. Border of dots.","","","","","","","X","","","","","","","","","","","","","","","","","","2025-05-27T04:05:13Z"
"http://numismatics.org/crro/id/rrc-287.1","RRC 287/1","rrc-287.1","","-115","-114","Roma","Denarius","Anonymous","Struck","Silver","Rome","Coin","","Latium","","X","","ROMA","Head of Roma, right, wearing winged Corinthian helmet with curl on left shoulder. Border of dots.","","Roma, wearing Corinthian helmet, seated right on pile of shields, holding spear in left hand; at feet, helmet; before, she-wolf, right, suckling twins; on either side, bird flying. Border of dots.","","","","","","","X","","","","","","","","","","","","","","","","","","2025-05-27T04:05:14Z"
"http://numismatics.org/crro/id/rrc-288.1","RRC 288/1","rrc-288.1","","-115","-114","Roma","Denarius","Cetegus","Struck","Silver","Rome","Coin","","Latium","Roman Republic","X","","EX·S·C","Head of Roma, right, wearing Phrygian helmet. Border of dots.","CETEGVS ROMA","Male figure on goat, right, wearing Phrygian helmet and holding branch in right hand. Ivy-wreath border.","","","","","X","","","","","","","","","","","","","","","","","","","","2025-05-27T04:05:14Z"
"http://numismatics.org/crro/id/rrc-289.1","RRC 289/1","rrc-289.1","","-115","-114","Roma||Victory","Denarius","M. Cipius","Struck","Silver","Rome","Coin","","Latium","Roman Republic","X","Rudder","M·CIPI·M·F","Helmeted head of Roma, right. Border of dots.","ROMA","Victory in biga, right, holding reins in left hand and palm-branch tied with fillet in right hand. Border of dots.","","","","Rudder","","","X","","","","","","","","","","","","","","","","","","2025-05-27T04:05:16Z"
"http://numismatics.org/crro/id/rrc-289.2","RRC 289/2","rrc-289.2","","-115","-114","Saturn","Semis","M. Cipius","Struck","Bronze","Rome","Coin","","Latium","Roman Republic","S","S","M·CIPI·M·F","Laureate head of Saturn, right.","ROMA","Prow, right.","","","","","","S","S","","","","","","","","","","","","","","","","","","2025-05-27T04:05:17Z"
"http://numismatics.org/crro/id/rrc-289.3","RRC 289/3","rrc-289.3","","-115","-114","Minerva","Triens","M. Cipius","Struck","Bronze","Rome","Coin","","Latium","Roman Republic","Four pellets","Four pellets","M·CIPI·M·F","Helmeted head of Minerva, right.","ROMA","Prow, right.","Four pellets","","","","","Four pellets","","","","","","","","","","","","","","","","","","","2025-05-27T04:05:17Z"
"http://numismatics.org/crro/id/rrc-289.4","RRC 289/4","rrc-289.4","","-115","-114","Hercules","Quadrans","M. Cipius","Struck","Bronze","Rome","Coin","","Latium","Roman Republic","Three pellets","","M·CIPI·M·F","Head of Hercules, right.","ROMA","Prow, right.","","","","","","","Three pellets","","","","","","","","","","","","","","","","","","2025-05-27T04:05:17Z"
"http://numismatics.org/crro/id/rrc-289.5","RRC 289/5","rrc-289.5","","-115","-114","Hercules","Uncia","M. Cipius","Struck","Bronze","Rome","Coin","","Latium","Roman Republic","One pellet","One pellet","","Head of Hercules, right.","ROMA M·CIPI·M·F","Rudder.","","","","One pellet","","","One pellet","","","","","","","","","","","","","","","","","","2025-05-27T04:05:17Z"
